,City Name,Package,Variety,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Item Size,Color,Repack,Year,Month
0,BALTIMORE,24 inch bins,HOWDEN TYPE,2017-04-29,270.0,280.0,270.0,280.0,MARYLAND,lge,ORANGE,E,2017,4
1,BALTIMORE,24 inch bins,HOWDEN TYPE,2017-05-06,270.0,280.0,270.0,280.0,MARYLAND,lge,ORANGE,E,2017,5
2,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-09-24,160.0,160.0,160.0,160.0,DELAWARE,med,ORANGE,N,2016,9
3,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-09-24,160.0,160.0,160.0,160.0,VIRGINIA,med,ORANGE,N,2016,9
4,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-11-05,90.0,100.0,90.0,100.0,MARYLAND,lge,ORANGE,N,2016,11
5,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-11-12,90.0,100.0,90.0,100.0,MARYLAND,lge,ORANGE,N,2016,11
6,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-09-24,160.0,170.0,160.0,170.0,MARYLAND,med,ORANGE,N,2016,9
7,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-09-24,160.0,160.0,160.0,160.0,PENNSYLVANIA,lge,ORANGE,N,2016,9
8,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-01,160.0,170.0,160.0,170.0,MARYLAND,med,ORANGE,N,2016,10
9,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-01,160.0,160.0,160.0,160.0,PENNSYLVANIA,lge,ORANGE,N,2016,10
10,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-08,160.0,170.0,160.0,170.0,MARYLAND,med,ORANGE,N,2016,10
11,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-08,160.0,160.0,160.0,160.0,PENNSYLVANIA,lge,ORANGE,N,2016,10
12,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-15,150.0,160.0,150.0,160.0,MARYLAND,lge,ORANGE,N,2016,10
13,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-15,150.0,170.0,150.0,170.0,MARYLAND,med,ORANGE,N,2016,10
14,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-22,150.0,160.0,150.0,160.0,MARYLAND,lge,ORANGE,N,2016,10
15,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-22,140.0,160.0,140.0,160.0,MARYLAND,med,ORANGE,N,2016,10
16,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,100.0,160.0,100.0,160.0,MARYLAND,lge,ORANGE,N,2016,10
17,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,130.0,160.0,130.0,160.0,MARYLAND,med,ORANGE,N,2016,10
18,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,130.0,130.0,130.0,130.0,MARYLAND,sml,ORANGE,N,2016,10
19,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,120.0,130.0,120.0,130.0,MARYLAND,xlge,ORANGE,N,2016,11
20,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,100.0,130.0,100.0,130.0,MARYLAND,lge,ORANGE,N,2016,11
21,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,90.0,100.0,90.0,100.0,MARYLAND,med,ORANGE,N,2016,11
22,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-12,100.0,120.0,100.0,100.0,MARYLAND,lge,ORANGE,N,2016,11
23,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-16,160.0,160.0,160.0,160.0,MARYLAND,med-lge,ORANGE,N,2017,9
24,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-23,160.0,160.0,160.0,160.0,MARYLAND,med-lge,ORANGE,N,2017,9
25,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-30,150.0,160.0,150.0,160.0,MARYLAND,lge,ORANGE,N,2017,9
